nom/ref,prix,acheter
tournevis a embout exotique,,non
scies à metau à avec lame bois metal plastique,,oui
limes à metaux petite,,oui
limes à bois gros premier prix,,oui
pince à dénuder simple à vis,,oui
lot pinces electronicien,,oui
Pinces brucelles bonne qualité,,oui
serre joint grand metal 2,,oui
Clé plate premier prix 5 à 12,,oui
Clé à pipe premier prix de 5 à 12 avec 5.5,,oui
Réglet 20 cm 2 premier prix,,oui
pied a coulisse 15 cm premier prix,,oui
foret métaux bonne qualité 2 au 13,,oui
foret métaux 0.8 1 1.2 1.5 par lot de 10,,oui
foret bois lot,,oui
panne de fer a souder,,non
etain,,oui
flux,,non
tresse,,oui
fiche bananes,,oui
pinces croco,,oui
kit de visserie ecrou,,oui
kit de visserie rondelles,,oui
kit de visserie vis,,non
kit de cosse,,oui
scoth electricien,,oui
